number,3-IG,2-TEST
1,1103-01,1102-5
2,1103-01,1102-5
3,1103-02,1102-5
4,1103-01,1102-5
5,1103-01,1102-5
6,1103-02,1102-5
7,1103-01,1102-5
8,1103-01,1102-5
9,1103-01,1102-5
10,1103-01,1102-5
11,1103-01,1102-5
12,1103-01,1102-5
13,1103-02,1102-5
14,1103-01,1102-5
15,1103-02,1102-5
16,1103-01,1102-5
17,1103-02,1102-5
18,1103-02,1102-5
19,1103-01,1102-5
20,1103-02,1102-5
21,1103-01,1102-9
22,1103-02,1102-9
23,1103-01,1102-9
24,1103-02,1102-9
25,1103-02,1102-9
26,1103-02,1102-9
27,1103-01,1102-9
28,1103-02,1102-9
29,1103-01,1102-9
30,1103-01,1102-9
31,1103-01,1102-9
32,1103-01,1102-9
33,1103-02,1102-9
34,1103-01,1102-9
